,001.ak47,002.american-flag,003.backpack,004.baseball-bat,005.baseball-glove,006.basketball-hoop,007.bat,008.bathtub,009.bear,010.beer-mug
100,0.005616082001806182,0.011956006418017142,0.019695444027569526,0.017957409279157014,0.01807026155193381,0.012828886608548343,0.013535526566167567,0.016785311015860678,0.010486930608749391,0.007234328441984234
90,0.005992096792757113,0.011425266002509045,0.01872858175270777,0.01809144018212941,0.01872907932673426,0.01143571354428874,0.011166032886799964,0.015112739395011551,0.00995525332381899,0.007141951772254856
80,0.00591382300568356,0.00965401144040858,0.01807553700500113,0.018655041499153018,0.02292888131201825,0.0119580169330366,0.012390673560224831,0.015552837884720951,0.010363360139775403,0.007322324128612318
70,0.006307398849341241,0.01022974002787614,0.019713753587840235,0.01612791353662344,0.024920383262831493,0.012967679116695642,0.01092490069891879,0.01785606239738072,0.010646198388129314,0.007410600623937652
50,0.006320377941278213,0.011964379364056863,0.021245419865792845,0.01887629954343572,0.026255491114953622,0.015292152100028518,0.013208011449140342,0.0162783923576322,0.011062125166141013,0.006388537852183223
30,0.0069663433194967275,0.015071233242057903,0.015290259845544867,0.018240047308720926,0.025197032517828247,0.0157822683916731,0.008591644305307518,0.016251793311769392,0.010514002928340977,0.007884787333342321
10,0.012413655863427384,0.016265601198622248,0.02034444205418109,0.027382031508925604,0.020659937273043598,0.01776164635657308,0.016274706453065023,0.018734505859497475,0.014179641840341971,0.009634635341478221
