quality,top1,macro_f1,ece
100,0.9759358288770054,0.9775544656103433,0.050615471155248226
90,0.9759358288770054,0.9773984870132152,0.04867865089426704
80,0.9705882352941176,0.9721378978033453,0.04685661391937797
70,0.9679144385026738,0.9685013707955896,0.04259778658814609
50,0.9652406417112299,0.9670258446834419,0.04643627598802036
30,0.9625668449197861,0.962223721917354,0.042192507276241804
10,0.9438502673796791,0.9455652622861489,0.058057190740809714
