,100,90,80,70,50,30,10
001.ak47,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793104
002.american-flag,0.9655172413793104,0.9655172413793104,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.896551724137931,0.8620689655172413
003.backpack,0.9777777777777777,1.0,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9555555555555556
004.baseball-bat,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158
005.baseball-glove,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.8888888888888888,0.9111111111111111,0.9111111111111111
006.basketball-hoop,1.0,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9259259259259259,0.9259259259259259
007.bat,0.9375,0.9375,0.9375,0.90625,0.9375,0.90625,0.90625
008.bathtub,1.0,1.0,1.0,1.0,1.0,1.0,0.9571428571428572
009.bear,1.0,1.0,1.0,1.0,1.0,1.0,1.0
010.beer-mug,1.0,1.0,1.0,1.0,0.9642857142857143,1.0,0.9642857142857143
