,001.ak47,002.american-flag,003.backpack,004.baseball-bat,005.baseball-glove,006.basketball-hoop,007.bat,008.bathtub,009.bear,010.beer-mug
100,1.0,0.9655172413793104,0.9777777777777777,0.9736842105263158,0.9111111111111111,1.0,0.9375,1.0,1.0,1.0
90,1.0,0.9655172413793104,1.0,0.9736842105263158,0.9111111111111111,0.9629629629629629,0.9375,1.0,1.0,1.0
80,1.0,0.9310344827586207,0.9777777777777777,0.9736842105263158,0.9111111111111111,0.9629629629629629,0.9375,1.0,1.0,1.0
70,1.0,0.9310344827586207,0.9777777777777777,0.9736842105263158,0.9111111111111111,0.9629629629629629,0.90625,1.0,1.0,1.0
50,1.0,0.9310344827586207,0.9777777777777777,0.9736842105263158,0.8888888888888888,0.9629629629629629,0.9375,1.0,1.0,0.9642857142857143
30,1.0,0.896551724137931,0.9777777777777777,0.9736842105263158,0.9111111111111111,0.9259259259259259,0.90625,1.0,1.0,1.0
10,0.9655172413793104,0.8620689655172413,0.9555555555555556,0.9736842105263158,0.9111111111111111,0.9259259259259259,0.90625,0.9571428571428572,1.0,0.9642857142857143
